Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
MEDSUPBI,0.002734793,1.72E-26,numeric,Negative,No,Medicare Supplement Insurance Buyer Index,A demographic based analytical model which predicts the likelihood of individuals aged 64 or older to purchase Medicare Supplement insurance.,"0 - Most Likely to Buy
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely to Buy",,
HBMULTI,0.002839004,1.97E-27,numeric,Positive,No,Multiple Healthy Behavior Change Index,A demographic based analytical model which predicts an individuals likelihood to make multiple health and wellness changes.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HBSUST,0.000456491,8.83E-06,numeric,Positive,No,Sustained Healthy Behavior Change Index,A demographic based analytical model which predicts an individuals likelihood to sustain health and wellness changes.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HIEMPINS,0.000235421,0.139409641,numeric,Negative,No,Employer Sponsored Health Insurance Index," Indicates the propensity of an individual in the household with an age 18 to 64 to have private insurance through their employer or union. The value of 0 indicates a high likelihood and 9 indicating a low likelihood. Households with individuals outside the age group will be coded with a blank.
","0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely  ",,
LTMEDICR,0.010389609,4.79E-77,numeric,Negative,No,Late to Medicare Index," Indicates the propensity of an individual aged 65 or older to have healthcare coverage through private insurance as opposed to Medicare insurance. The value of 0 indicates an individual is most likely and 9 being the least likely. Records outside the age group are coded with a blank.
","0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely  ",,
EIPHARMS,0.005326659,7.72E-50,numeric,Positive,No,Engagement Index - Pharmacists,A statistical model predicting the likelihood of an individual to engage with pharmacists.,"0 - Most likely to engage 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely to engage",,
CAREGIVE,-2.32E-05,0.827597899,categorical,Not Applicable,No,Caregiver,"Indicates an individual may be caring for an older adult.
"," BLANK
Y Yes
U Unknown",Drop U,CAREGIVE_U
MOTORCYL,-1.49E-05,0.533245148,categorical,Not Applicable,No,Presence of Motorcycle,Indicates someone in the household owns or has owned a motorcycle.,"Y  YES
U  UNKNOWN",Drop U,MOTORCYL_U
FTOTVLCL,0.00641583,8.20E-50,categorical,Not Applicable,No,Assessed Total Value,The total value (i.e. land and improvement) assessed by county and/or local taxing authorities.,"A - $1-$19,999 
B - $20,000-$39,999 
C - $40,000-$59,999 
D - $60,000-$79,999 
E - $80,000-$99,999 
F - $100,000-$119,999 
G - $120,000-$149,999 
H - $150,000-$169,999 
I - $170,000-$199,999 
J - $200,000-$249,999 
K - $250,000-$299,999 
L - $300,000-$349,999 
M - $350,000-$399,999 
N - $400,000-$499,999 
O - $500,000-$699,999 
P - $700,000-$999,999 
Q - $1,000,000+ 
U - $0 or Blank",scale,
FLNDVALC,0.008566867,7.19E-67,categorical,Not Applicable,No,Assessed Land Value,The land value assessed by county and/or local taxing authorities.,"A - $1-$9,999 
B - $10,000-$19,999 
C - $20,000-$29,999 
D - $30,000-$39,999 
E - $40,000-$49,999 
F - $50,000-$59,999 
G - $60,000-$79,999 
H - $80,000-$99,999 
I - $100,000-$119,999 
J - $120,000-$149,999 
K - $150,000-$169,999 
L - $170,000-$199,999 
M - $200,000-$249,999 
N - $250,000-$299,999 
O - $300,000-$349,999 
P - $350,000-$399,999 
Q - $400,000-$499,999 
R - $500,000-$699,999 
S - $700,000-$999,999 
T - $1,000,000+ 
U - $0 or blank",scale,
FSALDATE,0.000615656,2.94E-07,date,Negative,No,Property Sale Date,The date the property contract was signed or recorded.,CCYYMM,"Recode, Drop 0",
FSALPRIC,0.00212708,1.34E-14,categorical,Not Applicable,No,Property Sale Price,The price paid for the property.,"A - $1-$19,999 
B - $20,000-$39,999 
C - $40,000-$59,999 
D - $60,000-$79,999 
E - $80,000-$99,999 
F - $100,000-$119,999 
G - $120,000-$149,999 
H - $150,000-$169,999 
I - $170,000-$199,999 
J - $200,000-$249,999 
K - $250,000-$299,999 
L - $300,000-$349,999 
M - $350,000-$399,999 
N - $400,000-$499,999 
O - $500,000-$699,999 
P - $700,000-$999,999 
Q - $1,000,000+ 
U - $0 or blank",scale,
FMORT1,0.000908587,2.63E-06,categorical,Not Applicable,No,Mortgage Amount - 1st,The amount of the first mortgage as recorded on the deed.,"A - $1-$19,999 
B - $20,000-$39,999 
C - $40,000-$59,999 
D - $60,000-$79,999 
E - $80,000-$99,999 
F - $100,000-$119,999 
G - $120,000-$149,999 
H - $150,000-$199,999 
I - $200,000-$249,999 
J - $250,000-$499,999 
K - $500,000-$999,999 
L - $1,000,000-$1,499,999 
M - $1,500,000+ 
U - $0 or blank",scale,
FMORTTYP,0.000744294,5.68E-07,categorical,Not Applicable,No,Mortgage Loan Type Code,Type of loan for the first mortgage as recorded on the deed.,"C - Conventional 
F - FHA 
P - Private Party 
U - Unknown or blank
V - VA",,
FMORTTRM,0.001009803,7.12E-11,numeric,Negative,No,Mortgage Term,Time the loan matures for the first mortgage as recorded on the deed.,"00 - Unknown
01 - Year 
02 - Years
03 - Years
04 - Years
05 - Years
06 - Years
07 - Years
08 - Years
09 - Years
10 - Years
15 - Years
20 - Years
25 - Years
30 - Years
40 - Years",Drop 0,
FMORT2,-1.33E-05,0.487113506,categorical,Not Applicable,No,Mortgage Amount - 2nd,The amount of the second mortgage as recorded on the deed.,"A - $1-$19,999 
B - $20,000-$39,999 
C - $40,000-$59,999 
D - $60,000-$99,999 
E - $100,000-$199,000 
F - $200,000+ 
U - $0 or blank",scale,
FLIVSQFT,0.000534607,0.000860202,categorical,Not Applicable,No,Living Square Feet,"General living area that is heated or air conditioned and does not include garage, porch or basement square footage.","A - 1-499 
B - 500-999 
C - 1,000-1,199 
D - 1,200-1,399 
E - 1,400-1,599 
F - 1,600-1,700 
G - 1,800-1,999 
H - 2,000-2,199 
I - 2,200-2,599 
J - 2,600-2,999 
K - 3,000-3,999 
L - 4,000-4,999 
M - 5,000+ 
U - 0 or blank",scale,
FYEARBLT,-2.40E-05,0.904729926,date,Positive,No,Year Built,The year the primary residence was built.,CCYY,Drop 0,
FEFFYRBL,0.000442327,1.20E-05,date,Positive,No,Effective Year Built,The year any living square footage was added to the primary residence.,CCYY,Drop 0,
FPOOL,0.000664264,1.05E-07,categorical,Not Applicable,No,Pool,Indicates the presence of a swimming pool located on the property.,"Y = Yes
U = Unknown",Drop U,FPOOL_U
FROOFCVR,0.004231614,1.13E-34,categorical,Not Applicable,No,Roof Type,Indicates the type of materials used to cover the roof of the primary residence.,"A - Asphalt 
B - Built Up 
C - Composition 
G - Gravel 
M - Metal 
O - Other 
S - Shingle 
T - Tile 
W - Woodshake 
U - Unknown",Drop U,FROOFCVR_U
LNDSQFT,0.001472976,3.21E-09,categorical,Not Applicable,No,Land Square Footage,The total square footage for the entire property.,"A - 1-1,999 
B - 2,000-2,999 
C - 3,000-3,999 
D - 4,000-4,999 
E - 5,000-5,999 
F - 6,000-6,499 
G - 6,500-6,999 
H - 7,000-7,999 
I - 8,000-8,999 
J - 9,000-9,999 
K - 10,000-12,999 
L - 13,000-14,999 
M - 15,000-19,999 
N - 20,000-24,999 
O - 25,000-34,999 
P - 35,000-44,999 
Q - 45,000-59,999 
R - 60,000-89,999 
S - 90,000-149,999 
T - 150,000+ 
U - 0 or blank",scale,
INVESTOR,6.64E-07,0.310809914,categorical,Not Applicable,No,Real Estate Investor,Identifies an individual that owns a property other than their primary residence.,"Y = Yes
U = Unknown ",Drop U,INVESTOR_U
REL,0.001297889,2.38E-09,categorical,Not Applicable,No,Religion ,"Indicates the individuals religious affiliation. This is based on their name (first, middle and last) and the geographic area where they reside.",See Ethnic Information tab,,
COFO,-1.35E-05,0.503745269,numeric,Negative,No,Country of Origin,"Indicates the individuals Hispanic origin (Puerto Rico, Cuba, etc.).  This is based on name (first, middle and last) and the geographic area where they reside.  Assigned to individuals with the Ethnic value of 09, Hispanic.",See Ethnic Information tab,Drop 0,
ETHGRPCD,0.006338808,5.12E-50,categorical,Not Applicable,No,Ethnic Group,Identifies groups of similar ethnicities based on their geographic location.,See Ethnic Information tab,,
ETHEID,NA,NA,categorical,NA,No,Ethnicity,"Indicates the individuals ethnicity as assigned by Ethnic Technologies. This is based on name (first, middle and last) and the geographic area where the individual resides.",See Ethnic Information tab,,
ETHLANG,0.005458634,9.20E-31,categorical,Not Applicable,No,Language,"Indicates the individuals preferred language as assigned by Ethnic Technologies. This is based on name (first, middle and last) and the geographic area where the individual resides.",See Ethnic Information tab,,
FILLER.3,NA,NA,Other,NA,Yes,#N/A,,#N/A,,
RXADHM,0.001654409,9.89E-17,numeric,Negative,No,RX - Adherence - Maintenance,A demographic based analytical model which predicts an individual is taking maintenance drugs as directed and on time.,"0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely 
",,
RXADHS,0.002345962,5.53E-23,numeric,Negative,No,RX - Adherence - Supplement,"A demographic based analytical model which predicts an individual is taking supplements (vitamins, multi-vitamins, minerals, supplements) regularly.","0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely 
",,
RXBRAND,0.000481623,5.15E-06,numeric,Positive,No,RX - Brand Preference,A demographic based analytical model which predicts the likelihood an individual prefers a brand name medication over a generic.,"0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely ",,
RXMAINT,0.001343967,6.46E-14,numeric,Negative,No,RX - Maintenance Meds,A demographic based analytical model which predicts the likelihood an individual is using maintenance prescription drugs to treat common chronic conditions.,"0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely ",,
RXNCDRUG,0.004600366,1.91E-41,categorical,Not Applicable,No,RX - Reason for Non-Compilance,A demographic based analytical model which predicts reasons why an individual may not be in compliance with the prescription medications.,"A - Prefer Alternative
C - Cost of Prescription
D - Dislike Prescription   
N - Just Don't 
U - Uncoded ",No U values,
RXNUM,-1.09E-05,0.456900119,numeric,Positive,No,RX - Number of Drugs,A demographic based analytical model which predicts the number of medications an individual takes on a regular basis.,"0 - No Prescriptions 
1 
2 
3 
4 
5 
6 
7 
8 
9 - 9 or More Prescriptions
",,
RXPURCHA,0.004536075,7.13E-41,categorical,Not Applicable,No,RX - Purchase Channel,A demographic based analytical model which predicts where an individual is purchasing prescription medications.,"D - Drug Store 
G - Grocery Store 
M - Mail Order 
R - Retail Store 
U - Uncoded ",No U values,
RXSOWRX,0.002086346,1.22E-20,numeric,Negative,No,RX - Share of Wallet - Prescriptions,"A demographic based analytical model which predicts the likelihood an individual purchases their prescription medications at a single location. A value of 0 would indicate they are loyal to a particular location, with 9 being they shop at many locations.","0 - Most likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely",,
RXSUPP,0.000149285,0.007577965,numeric,Positive,No,RX - Supplement Usage,"A demographic based analytical model which predicts the likelihood an individual is using supplements (vitamins, multi-vitamins, minerals, supplements) to treat medical conditions.","0 - Most likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely ",,
MEDIAIDD,0.000503935,3.19E-06,numeric,Positive,No,Media Influence - Digital Display,A demographic based analytical model which predicts the likelihood of an individual being open and willing to receive information via display advertising or display advertising influencing a choice in their decision about a health care company.  The value of 0 indicates individual is most likely to respond and 9 being the least likely to respond.,0-9,,
MEDIAIOD,0.009443958,5.99E-87,numeric,Positive,No,Media Influence - Owned Digital,A demographic based analytical model which predicts likelihood of an individual being open and willing to receive information via owned digital (company website or blog) or owned digital influencing a choice in decision about a health care company.  he value of 0 indicates individual is most likely to respond and 9 being the least likely to respond.,0-9,,
MEDIAIP,0.006071256,1.84E-55,categorical,Not Applicable,No,Media Influence Propensity,A demographic based analytical model which predicts the most likely media an individual is open and willing to receive information from or influencing a choice in decision about a health care company.,"D - Digital 
O - Owned 
S - Social",,
MEDIAISM,0.000932609,3.61E-10,numeric,Negative,No,Media Influence - Social Media,"A demographic based analytical model which predicts likelihood of an individual being open and willing to receive information via social media sites (Facebook, Twitter, Instagram) or information on social media sites influencing a choice in decision about a health care company.  The value of 0 indicates individual is most likely to respond and 9 being the least likely to respond.",0-9,,
AGBLOOD,0.000480288,5.30E-06,categorical,Not Applicable,No,Ailment Group - Cholesterol and Blood Pressure,An individual within the household completed a survey selecting at least one cholesterol and blood pressure ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGBLOOD_U
AGNOSE,0.000830374,3.11E-09,categorical,Not Applicable,No,Ailment Group - Allergies and Sinuses,An individual within the household completed a survey selecting at least one allergy and sinus ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGNOSE_U
AGJOINT,1.33E-06,0.304451326,categorical,Not Applicable,No,Ailment Group - Joint/Spine,An individual within the household completed a survey selecting at least one joint/spine ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGJOINT_U
AGRESP,5.42E-05,0.072494759,categorical,Not Applicable,No,Ailment Group - Respiratory,An individual within the household completed a survey selecting at least one respiratory ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGRESP_U
AGMOUTH,0.000426152,1.70E-05,categorical,Not Applicable,No,Ailment Group - Mouth and Teeth,An individual within the household completed a survey selecting at least one mouth and teeth ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGMOUTH_U
AGSKIN,0.000146424,0.008091552,categorical,Not Applicable,No,Ailment Group - Skin,An individual within the household completed a survey selecting at least one skin ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGSKIN_U
AGDIAB,0.000125575,0.013090456,categorical,Not Applicable,No,Ailment Group - Diabetes,An individual within the household completed a survey selecting at least one diabetes ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGDIAB_U
AGDIG,0.000474037,6.06E-06,categorical,Not Applicable,No,Ailment Group - Digestive,An individual within the household completed a survey selecting at least one digestive ailment and/or treatment survey code.,"Y = Yes
U = Unknown",Drop U,AGDIG_U
AGAST,2.04E-06,0.297869495,categorical,Not Applicable,No,Ailment Group - Mobility Problems and Assistance,An individual within the household completed a survey selecting at least one mobility problems and assistance ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGAST_U
AGPAIN,0.000440837,1.24E-05,categorical,Not Applicable,No,Ailment Group - Aches and Pain,An individual within the household completed a survey selecting at least one aches and pain ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGPAIN_U
AGFOOT,-2.42E-05,0.935780873,categorical,Not Applicable,No,Ailment Group - Foot,An individual within the household completed a survey selecting at least one foot ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGFOOT_U
AGVSN,7.18E-05,0.046883265,categorical,Not Applicable,No,Ailment Group - Vision,An individual within the household completed a survey selecting at least one vision specific ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGVSN_U
AGPROG,0.00025392,0.000723396,categorical,Not Applicable,No,Ailment Group - Progressive Conditions,An individual within the household completed a survey selecting at least one progressive conditions ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGPROG_U
AGWEIGHT,0.000807131,5.08E-09,categorical,Not Applicable,No,Ailment Group - Weight,An individual within the household completed a survey selecting at least one weight ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGWEIGHT_U
AGHEART,0.000132517,0.01114563,categorical,Not Applicable,No,Ailment Group - Heart Condition,An individual within the household completed a survey selecting at least one heart condition ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGHEART_U
AGFEM,0.000136995,0.010050941,categorical,Not Applicable,No,Ailment Group - Female Conditions,An individual within the household completed a survey selecting at least one female care ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGFEM_U
AGPSYCO,0.000560227,9.58E-07,categorical,Not Applicable,No,Ailment Group - Psychological/Behavioral,An individual within the household completed a survey selecting at least one psychological/behavior ailment and/or treatment.,"Y = Yes
U = Unknown",Drop U,AGPSYCO_U
HWFOSL,0.000427385,1.65E-05,numeric,Negative,No,Health & Wellness Shopping - Front of Store Loyalty,"A demographic based analytical model which predicts the likelihood an individual is purchasing front of store products (vitamins, minerals, supplements and personal care products) at the same location.","0 - Most Loyal
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Loyal
",,
HWFOSS,0.00488407,7.46E-46,numeric,Negative,No,Health & Wellness Shopping - Front of Store Spenders,"A demographic based analytical model which predicts the likelihood individuals spending a lot of dollars on front of store products (vitamins, minerals, supplements and personal care products).","0 - Most Likely 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWRXLOYL,2.93E-05,0.137849369,numeric,Negative,No,Health & Wellness Shopping - RX Loyalty,A demographic based analytical model which predicts the likelihood an individual is purchasing prescriptions at the same location.,"0 - Most Loyal
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Loyal
",,
HWHEALTHSCORE,0.003688657,3.28E-26,numeric,Positive,No,"Health Rank - Overall Health
","Indicates the propensity of an individuals overall health score. The value of 0 indicates an individual health score is poor and a 9 indicates the likelihood of a good health score. Lowest rank for targeted select is 3.
","0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPHYSICALHEALTH,0.003865963,2.21E-27,numeric,Positive,No,"Health Rank - Physical Health 
","Indicates the propensity estimate for the number of days each month an individual is physically hampered in doing daily tasks. The value of 0 indicates an individual's physical health is poor and a 9 indicates the likelihood of better physical health. Lowest rank for targeted select is 3.
","0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWHEALTHWISE,0.004548071,8.51E-31,numeric,Positive,No,Health Rank - Health - Wealth Score,"Indicates the propensity of an individual's physical, emotional and financial wellbeing. The value of 0 indicates an individual's wellbeing is poor and a 9 indicates a more optimistic wellbeing. Lowest rank for targeted select is 3.
","0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWARTHRITIS,-1.79E-05,0.496369801,numeric,Positive,No,Health Rank - Arthritis,"Indicates the propensity of an individual to have arthritis. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 4.


","0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWALLERGY,0.00127486,3.50E-10,numeric,Positive,No,Health Rank - Allergies,Indicates the propensity of an individual for allergies. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWASTHMA,0.001237359,6.24E-10,numeric,Positive,No,Health Rank - Asthma,Indicates the propensity of an individuals to have a history of asthma. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCATARACT,0.001860877,4.29E-14,numeric,Positive,No,Health Rank - Cataracts,Indicates the propensity of an individuals to have cataracts. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWGASTRO,0.000274487,0.002344247,numeric,Positive,No,Health Rank - Digestive Conditions,Indicates the propensity that an individual has digestive conditions. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCHOLESTEROL,-1.32E-05,0.437959685,numeric,Positive,No,Health Rank - High Cholesterol,Indicates the propensity that an individual has high cholesterol. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWHEARTDISEASE,2.84E-05,0.173218101,numeric,Negative,No,Health Rank - Heart Disease,Indicates the propensity that an individual has heart disease. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWHEARTATTACK,0.000330259,0.000942815,numeric,Negative,No,Health Rank - Heart Attack,Indicates the propensity for an individual to have a heart attack. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWSTROKE,-9.69E-06,0.399916097,numeric,Positive,No,Health Rank - Stroke,Indicates the propensity for an individual to have a stroke. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWRESPIRATORYCONDITION,0.010907287,6.06E-74,numeric,Positive,No,Health Rank - Lung Disease,"Indicates the propensity of an individual to have respiratory conditions due to emphysema, smoking complications, COPD and breathing difficulty. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 4.","0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWDIABETES,0.003219334,4.18E-23,numeric,Positive,No,Health Rank - Diabetes,Indicates the propensity of an individual to have diabetes. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPREDIABETES,0.002830753,1.56E-20,numeric,Positive,No,Health Rank - Borderline Diabetes,Indicates the propensity of an individual that is borderline for having diabetes. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWKIDNEY,4.84E-05,0.117161804,numeric,Positive,No,Health Rank - Kidney Disease,Indicates the propensity for an individual having kidney disease. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCANCER,0.002401762,1.09E-17,numeric,Negative,No,Health Rank - Cancer,Indicates the propensity of an individual getting cancer. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCANCERLUNG,0.003665216,4.69E-26,numeric,Positive,No,Health Rank - Lung Cancer,Indicates the propensity of an individual getting lung cancer. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWSKINCANCER,0.006490042,1.01E-44,numeric,Negative,No,Health Rank - Skin Cancer,Indicates the propensity of an individual getting skin cancer. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPAIN,0.001405919,4.64E-11,numeric,Positive,No,Health Rank - Pain,Indicates the propensity of an individual having pain. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWGLAUCOMA,0.001860877,4.29E-14,numeric,Positive,No,Health Rank - Glaucoma,Indicates the propensity of an individual having glaucoma. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWDEPRESSION,0.006644708,9.55E-46,numeric,Positive,No,Health Rank - Depression,Indicates the propensity of an individual having a recent episode of depression. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWANXIETY,0.003260782,2.22E-23,numeric,Positive,No,Health Rank - Anxiety,Indicates the propensity of an individual having a recent episode of anxiety. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWDECISIONS,0.002851003,1.15E-20,numeric,Positive,No,Health Rank - Decisions,Indicates the propensity of an individual to have difficulty making decisions or has memory issues. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPREGNANT,1.71E-05,0.256801553,numeric,Positive,No,Health Rank - Pregnancy,Indicates the propensity that an individual is currently pregnant. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 1.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWDENTAL,0.003306885,1.10E-23,numeric,Positive,No,Health Rank - Dental Issues,Indicates the propensity of an individual having dental related issues. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWFLUSHOT,0.006596324,1.99E-45,numeric,Negative,No,Health Rank - Flu Shot,Indicates the propensity of an individual getting the flu shot in past year. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPNEUMONIAVAC,0.002905793,4.98E-21,numeric,Negative,No,Health Rank - Pneumonia Vaccine,Indicates the propensity of an individual getting the pneumonia vaccine shot in past year. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWTETANUS,0.001480458,1.47E-11,numeric,Positive,No,Health Rank - Tetanus Shot,Indicates the propensity of an individual getting a tetanus shot in past 10 years. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWDOCVISITS10,0.000995984,2.61E-08,numeric,Positive,No,Health Rank - Doctor Visits,Indicates the propensity of an individual seeing a doctor 10 or more times each year. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCHECKUPNO,0.002974325,1.75E-21,numeric,Positive,No,Health Rank - Check Up,Indicates the propensity of an individual NOT getting a check up in the past five years. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWMAMMOGRAM,0.000155311,0.057737261,numeric,Positive,No,Health Rank - Mammogram,Indicates the propensity of a female over 50 getting a mammogram. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWBREASTEXAM,0.001366406,1.01E-06,numeric,Positive,No,Health Rank - Breast Exam,Indicates the propensity of a female to have had a breast exam in the past five years. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPAPTEST,4.72E-05,0.180904226,numeric,Positive,No,Health Rank - PAP Test,Indicates the propensity of a female to have a PAP test in the past five years. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
